index,county,16_jan,16_feb,16_mar,16_apr,16_may,16_jun,16_jul,16_aug,16_sep,16_oct,16_nov,16_dec,17_jan,17_feb,17_mar,17_apr,17_may,17_jun,17_jul,17_aug,17_sep,17_oct,17_nov,17_dec,18_jan,18_feb,18_mar,18_apr,18_may,18_jun,18_jul,18_aug,18_sep,18_oct,18_nov,18_dec,19_jan,19_feb,19_mar,19_apr,19_may,19_jun,19_jul,19_aug,19_sep,19_oct,19_nov,19_dec,20_jan,20_feb,20_mar,20_apr,20_may,20_jun,20_jul,20_aug,20_sep,20_oct,20_nov,20_dec,21_jan,21_feb,21_mar,21_apr,21_may,lat,lng
40,shasta,2.9,33.3,18.5,3.5,7.9,20.6,-4.5,9.8,9,9.1,45.5,16.4,22.9,-0.6,-3.1,-9,1.2,5.1,-0.4,10.9,8.2,9.2,-1.3,-15.3,12.2,7.4,-9.7,8.2,3.4,-1.3,0.8,4.5,-1.5,11.1,7.1,6.8,12.4,4.8,20.1,0,9.6,-18.4,7.4,-2.7,-4.6,-16.9,-3.3,-11.4,1.8,-8.6,-11.9,-23.5,-33.7,16.5,27.5,14.8,27.9,28.2,0.9,50.5,-10,28.9,26.6,35.6,53.3,40.7637,-122.0405
41,siskiyou,24,85.7,-18.9,33.3,13.9,11.4,-21.7,57.6,18.4,-20,5.4,-3.1,-12.9,-41,30,-12.5,31.7,20.5,19.4,-11.5,-15.5,0,12.8,54.8,48.1,43.5,2.6,-2.9,-7.4,-2.1,11.6,26.1,12.2,4.5,-15.9,-33.3,-42.5,-45.5,12.5,29.4,-8,-4.3,10.4,13.8,-21.8,2.2,-18.9,31.3,73.9,100,-2.2,-36.4,-15.2,-4.5,15.1,13.6,39.5,51.1,70,-16.7,10,-33.3,0,107.1,10.3,41.5927,-122.5404
42,solano,5.2,15.8,13.4,-13.6,-2.8,-14.5,-10.6,4.3,-5.8,4.5,26.7,-10.8,6.8,-17.4,-6.8,3.5,4.4,-1.9,-10,-2.5,-6.3,1.2,-15.8,-4.9,-12,3.1,-2.2,-4.4,-0.7,-9.4,4.4,-8.9,-19.3,-21.5,-3.6,-18.5,-10,-7.1,-3.3,-0.5,1.4,-1.9,4.9,8.4,18.9,7.5,-3.1,14.9,11.2,9.2,-7.1,-25.2,-35.1,1,8.7,-18.4,11.7,5.9,16.6,8.6,0.8,-28.2,-3.7,21.4,10.3,38.27,-121.9329
43,sonoma,16.4,4.3,8,-17.3,-5.4,-10.7,-14.9,-1.6,4.9,-9.4,6.1,-23.9,-11.3,-5,-5.2,-10,0.5,10.8,-10.6,8.8,-0.5,-7.4,14.7,16.7,15,3.9,-0.6,6.8,-3.2,-15.5,-1.8,-7.7,-19.4,19.2,-29.1,-16.7,-8.7,-7.9,-20.4,-2,7.7,3.3,10,-11.7,21.2,-8.4,8.7,4.7,-6.9,12.7,3.8,-33.1,-54,3.4,36.5,31.6,26.6,18.4,14.2,39.4,20.5,8.5,36.4,126.5,158.5,38.5283,-122.8874
44,stanislaus,0.6,11.9,10,-0.2,-11.9,0.5,-16.3,3,-14.2,-5.7,31.1,-6.1,4,-3.5,8.1,-6.1,12.3,-1.6,0.6,7.8,13.6,2.5,-5.1,-7.1,0.6,-4.5,-8.8,1.1,-5.8,-6.9,-5.1,-4.3,-13.2,-5.1,-9.2,-16,-12.1,5.3,-8.8,1.1,7.5,-16.6,5.7,-6,-9,8.8,3.9,8.3,4,0,-10.4,-23.6,-45.1,12.6,-4,-7.6,22.9,-3.4,11.3,14.8,1.6,-11.9,5.8,25.9,37.8,37.5591,-120.9977
45,sutter,-1.9,-12.1,1.5,27.6,8.5,30.5,10.7,0,4.4,10.5,25,18,-3.8,-9.8,-4.5,-32,13,-10.3,-24.7,18.3,18.3,8.3,0,6.9,44,69.6,34.4,13.6,5.7,-3.1,0,-18.6,-27.4,-15.4,-14.7,5.2,-13.9,-25.6,-29.1,-9.3,-20.7,-19.4,21.4,10.1,-13.1,0,1.6,-16,-3.2,-3.4,-8.2,-7.4,-45.2,-4,-5.9,-20.7,35.8,-9.1,9.2,19.1,-21.7,-16.1,7.1,-6.3,102.5,39.0346,-121.6948
46,tehama,-38.7,15.8,-2.4,-20.5,-4.7,13.2,-22.5,70,-7.9,-7.9,25.8,-30.6,42.1,-13.6,0,-9.7,26.8,11.6,3.2,-19.6,-8.6,22.9,25.6,8.8,18.5,73.7,-15,46.4,-32.7,-6.3,3.1,-7.3,28.1,-2.3,-46.9,100,109.4,27.3,44.1,12.2,40,-8.9,54.5,21.1,26.8,7.1,69.2,-55.4,-62.7,-40.5,-26.5,-21.7,-36.7,9.8,13.7,-2.2,-9.6,24.4,-29.5,33.3,24,96,47.2,16.7,51.6,40.1256,-122.2341
47,tulare,6.5,7.9,7.4,-5.3,18.8,8.9,9.6,15.9,8.5,-3.7,41.6,8,28,10.7,17.9,8.4,6.1,17.4,-3.6,3.6,13,17.4,12.7,-3.9,12.4,3.5,9.3,9.2,6.4,-5.6,13.1,-1.3,-17.8,16.3,-2.5,-20.1,-16.1,-8.9,5,4.1,1.4,-2.3,-5.6,-22.7,17.2,3.7,9.3,33.2,12.6,2.3,-14.1,-12.3,-23.9,1.7,8.5,26.4,9.2,-6.6,4.4,9.1,5.8,12.3,2.8,18.9,17.4,36.2201,-118.8005
48,tuolumne,23.9,-15.2,1.5,-9.4,10,-4,2.4,22.9,0,1.6,22.6,-6.7,-12.3,23.1,-4.5,32.8,16.7,20.8,-18.8,18.6,22.4,45.3,-3.9,-10,10,-16.7,35.9,10.4,-5.2,5.7,29,-17.6,-25.6,-16.1,-9.6,27,-16.4,-7.5,-29.9,-15.3,0,-23.9,1.1,-7.1,39.3,11.5,-15.2,-22.5,26.1,78.4,16.4,-18.1,-30.1,22.9,35.6,53.8,81.2,47.1,62.5,82.3,20.7,22.7,25.4,64.4,103.9,38.0276,-119.9548
49,ventura,3.7,-4.9,8,-8.1,-15.7,-13.3,-26.6,-5.7,-25.6,-18.1,5.7,-21.9,-12.7,-11.1,-16.8,-23.6,-6.7,0.7,-8.7,-11.7,0,-7.5,-3.5,-14.4,3.7,-7.1,-2.9,-6.7,-5.9,-18,8.9,-2.9,-18.1,1.1,-11.7,-13.8,-20.1,7.6,-15.4,15.2,6.7,0.6,2.1,1.4,12.9,14.5,-1.9,11.8,13.9,6.8,2.7,-29.6,-52,-18.4,1.3,6.6,32.1,1.9,40.9,41.7,6.9,7.3,15.6,70.3,119.5,34.4565,-119.0836
50,yolo,33.8,0,28.5,-11.4,3,19.9,-7,15.7,0.7,-7,11,-6.1,18.9,-9.1,-24.1,-2,11.1,15.5,-7.5,-9.4,5.6,15.2,9.9,-12.9,-28.3,-4.4,10,10.4,-5.3,-18.2,0,-13.2,-32.9,-26.3,-26.3,-19.8,-1.2,1.2,-9.8,-8.8,-18.9,-9.9,8.8,-4,37.3,19.6,0,27.8,10,5.7,-5.9,-34.5,-43.2,8.4,16.1,4.1,37.1,4.5,30.6,10.5,4.5,15.2,22.3,47.4,83.1,38.6866,-121.9016
51,yuba,43.2,16.1,25.4,9.7,13,6,-12.5,-2,2.5,19.7,22,-6.8,-9.5,6.2,-4.8,-5.1,2.3,23.6,9.1,-16.5,-4.8,8.9,-4.2,1.5,1.8,-11.6,-3.8,5.3,-4.5,-27.3,13.1,32.1,-11.4,-7,14.5,17.4,19,-13.1,-5.2,-6.3,7.1,-1.3,-6.3,-35.5,14.3,13.8,-1.3,-13.6,-14.5,24.5,24.7,-4.1,-44,19,-3.4,30.4,-11.3,-16.5,7.7,4.3,-25.4,-25.8,-25.3,4.2,100,39.269,-121.3513
